42.0498,-73.4875
42.0511,-73.4247
42.0371,-72.8146
41.9983,-72.8174
42.0044,-72.7638
42.0360,-72.7563
42.0368,-72.6945
42.0309,-72.6086
42.0269,-72.6059
42.0269,-72.5784
42.0350,-72.5729
42.0350,-72.4026
42.0248,-71.7984
41.6832,-71.7874
41.4165,-71.7984
41.3892,-71.8341
41.3273,-71.8526
41.3309,-71.8938
41.3103,-71.9302
41.2907,-72.0195
41.2618,-72.0827
41.1962,-72.4322
41.0866,-73.0007
41.0255,-73.2493
40.9509,-73.6132
40.9830,-73.6606
41.0338,-73.6723
41.1011,-73.7272
41.2153,-73.4834
41.2953,-73.5507
41.4906,-73.5329
42.0493,-73.4875
